model,dropout,surface,trial,rmse_bps,epp_bps,time_ms,epochs_trained
ICNN,0.2,31,1,640.1802587694143,0.0,2448.9073753356934,190
ICNN,0.2,31,2,858.0713552898621,0.0,2797.926425933838,220
ICNN,0.4,31,0,557.9798419662143,0.0,2380.3954124450684,189
ICNN,0.4,31,1,723.993121934212,0.0,2180.3297996520996,174
ICNN,0.4,31,2,669.9934635927797,0.0,2677.7448654174805,218
ICNN,0.6,31,0,692.7286917100328,0.0,2856.560468673706,236
ICNN,0.6,31,1,608.8456571107967,0.0,2717.3726558685303,220
ICNN,0.6,31,2,802.0245042153433,0.0,2758.563995361328,228
ICNN,0.2,32,0,618.3757502957509,0.0,2314.8531913757324,180
ICNN,0.2,32,1,529.907853800134,0.0,2226.8543243408203,176
ICNN,0.2,32,2,725.7491808849529,0.0,2367.805242538452,180
ICNN,0.4,32,0,806.9361030125918,0.0,2754.8656463623047,223
ICNN,0.4,32,1,665.0635478506664,0.0,2402.4643898010254,190
ICNN,0.4,32,2,638.2872195564366,0.0,2349.665403366089,187
ICNN,0.6,32,0,695.5270653397695,0.0,2152.8141498565674,173
ICNN,0.6,32,1,732.778166799098,0.0,2234.8406314849854,188
ICNN,0.6,32,2,598.802782772124,0.0,2234.8287105560303,183
ICNN,0.2,33,0,505.54194178806915,0.0,2264.3582820892334,179
ICNN,0.2,33,1,634.8545199226301,0.0,2741.0707473754883,205
ICNN,0.2,33,2,742.9533216208965,0.0,2499.9327659606934,197
ICNN,0.4,33,0,788.7521743362053,0.0,2428.9424419403076,183
ICNN,0.4,33,1,588.4793078571448,0.0,2214.843273162842,180
ICNN,0.4,33,2,634.7232350884068,0.0,2630.0110816955566,210
ICNN,0.6,33,0,548.3289463815057,0.0,2129.4949054718018,173
ICNN,0.6,33,1,501.62642408279686,0.0,2259.3162059783936,188
ICNN,0.6,33,2,644.0651671642825,0.0,2764.167547225952,231
ICNN,0.2,34,0,666.1568321549026,0.0,2235.853910446167,172
ICNN,0.2,34,1,617.9671080892207,0.0,2597.45192527771,204
ICNN,0.2,34,2,429.21279778841915,0.0,2401.390314102173,185
ICNN,0.4,34,0,572.9760703060863,0.0,2332.3752880096436,187
ICNN,0.4,34,1,652.1725686272521,0.0,2511.970043182373,203
ICNN,0.4,34,2,715.6111190565209,0.0,2193.340063095093,167
ICNN,0.6,34,0,744.409892335975,0.0,2051.935911178589,168
ICNN,0.6,34,1,785.3347729412087,0.0,1992.7301406860352,164
ICNN,0.6,34,2,872.3593177486509,0.0,1959.200382232666,159
ICNN,0.2,35,0,674.4424397320398,0.0,2083.3141803741455,161
ICNN,0.2,35,1,526.5422337548897,0.0,2210.414409637451,175
ICNN,0.2,35,2,498.90791940748335,0.0,2560.9383583068848,191
ICNN,0.4,35,0,410.79151391106586,0.0,2275.324821472168,186
ICNN,0.4,35,1,679.8443610236234,0.0,2796.9300746917725,218
ICNN,0.4,35,2,575.8157035825262,0.0,2267.3490047454834,183
ICNN,0.6,35,0,500.5177286285848,0.0,2036.7484092712402,171
ICNN,0.6,35,1,439.98276705318466,0.0,2523.4670639038086,210
ICNN,0.6,35,2,643.2507907572096,0.0,2401.451587677002,183
ICNN,0.2,36,0,803.8128738837149,0.0,2355.898141860962,170
ICNN,0.2,36,1,546.9136101494244,0.0,2109.8005771636963,161
ICNN,0.2,36,2,797.2271310389266,0.0,2253.8509368896484,180
ICNN,0.4,36,0,722.4805309111325,0.0,2610.521078109741,210
ICNN,0.4,36,1,688.1173874467504,0.0,2260.1518630981445,183
ICNN,0.4,36,2,682.7435628783509,0.0,2603.4629344940186,212
ICNN,0.6,36,0,828.7142843134042,0.0,2216.175317764282,183
ICNN,0.6,36,1,605.2424099616159,0.0,2163.331985473633,179
ICNN,0.6,36,2,682.1812259488178,0.0,2683.128833770752,223
ICNN,0.2,37,0,389.70184062639834,0.0,2202.5067806243896,177
ICNN,0.2,37,1,500.99392876240927,0.0,2502.2292137145996,198
ICNN,0.2,37,2,686.8175217327895,0.0,1837.6901149749756,143
ICNN,0.4,37,0,489.59638512593875,0.0,2036.766529083252,163
ICNN,0.4,37,1,553.411155266633,0.0,2518.955945968628,199
ICNN,0.4,37,2,667.6745951032985,0.0,2124.300956726074,171
ICNN,0.6,37,0,568.9107182402232,0.0,2901.0701179504395,244
ICNN,0.6,37,1,747.1368638549618,0.0,2132.3211193084717,176
ICNN,0.6,37,2,674.9495970119375,0.0,2077.37398147583,176
ICNN,0.2,38,0,617.5985583886143,0.0,2154.320240020752,164
ICNN,0.2,38,1,788.9883893691218,0.0,2254.8422813415527,176
ICNN,0.2,38,2,622.1558447384668,0.0,2243.6888217926025,173
ICNN,0.4,38,0,731.8729178290765,0.0,2380.8798789978027,189
ICNN,0.4,38,1,629.8360029807064,0.0,3149.2226123809814,246
ICNN,0.4,38,2,684.2819004719288,0.0,3016.1781311035156,218
ICNN,0.6,38,0,808.5005232924725,0.0,2104.799509048462,168
ICNN,0.6,38,1,561.5324104237293,0.0,2384.3905925750732,197
ICNN,0.6,38,2,864.4954320277883,0.0,1871.2248802185059,151
ICNN,0.2,39,0,514.550637563316,0.0,2960.4616165161133,231
ICNN,0.2,39,1,610.9553069796783,0.0,2486.552953720093,193
ICNN,0.2,39,2,715.8715882828566,0.0,2130.277395248413,166
ICNN,0.4,39,0,619.926901362406,0.0,2493.9961433410645,203
ICNN,0.4,39,1,550.1903024713699,0.0,2281.83650970459,183
ICNN,0.4,39,2,625.1232369176842,0.0,2613.9676570892334,202
ICNN,0.6,39,0,651.8121938440634,0.0,2139.7788524627686,175
ICNN,0.6,39,1,483.8267986802159,0.0,2352.8847694396973,192
ICNN,0.6,39,2,869.492626516513,0.0,2048.7444400787354,166
ICNN,0.2,40,0,807.3714021905014,0.0,2283.841371536255,173
ICNN,0.2,40,1,506.88824362102457,0.0,2333.3675861358643,177
ICNN,0.2,40,2,604.3792100708602,0.0,2305.7825565338135,183
ICNN,0.4,40,0,546.4479544190592,0.0,2366.35684967041,192
ICNN,0.4,40,1,992.9020399013168,0.0,2286.8638038635254,181
ICNN,0.4,40,2,456.5345015910992,0.0,2285.9156131744385,182
ICNN,0.6,40,0,724.733624604791,0.0,2022.7625370025635,171
ICNN,0.6,40,1,821.4774582387764,0.0,2423.9094257354736,192
ICNN,0.6,40,2,687.5795942191654,0.0,2776.5896320343018,226
ICNN,0.2,41,0,548.2775163654275,0.0,2211.635112762451,175
ICNN,0.2,41,1,531.4893550551978,0.0,2827.5105953216553,221
ICNN,0.2,41,2,953.7409504494921,0.0,2403.660297393799,189
ICNN,0.4,41,0,525.5351096863731,0.0,2720.479726791382,209
ICNN,0.4,41,1,560.2901416623225,0.0,2408.9152812957764,191
ICNN,0.4,41,2,607.6187269109549,0.0,2218.860864639282,178
ICNN,0.6,41,0,562.6506358518303,0.0,2176.9378185272217,179
ICNN,0.6,41,1,721.7360337273917,0.0,2248.9564418792725,185
ICNN,0.6,41,2,647.2790319128605,0.0,2677.2141456604004,223
ICNN,0.2,42,0,545.857483722692,0.0,2043.1668758392334,160
ICNN,0.2,42,1,525.7559163204116,0.0,2445.96529006958,192
ICNN,0.2,42,2,476.69416210249364,0.0,2605.6222915649414,204
ICNN,0.4,42,0,564.0710166301867,0.0,2270.3640460968018,181
ICNN,0.4,42,1,646.2269135407469,0.0,3443.767547607422,224
ICNN,0.4,42,2,801.210693582154,0.0,2506.047248840332,172
ICNN,0.6,42,0,587.588025731089,0.0,2703.0045986175537,198
ICNN,0.6,42,1,641.093097545621,0.0,2862.5874519348145,228
ICNN,0.6,42,2,646.2438414262471,0.0,2381.4988136291504,195
